iteration,loss,lr
0,5028.34375,0.001
1,5468.4267578125,0.001
2,4587.5556640625,0.001
3,3408.83349609375,0.001
4,3665.710693359375,0.001
5,3034.593994140625,0.001
6,3029.906005859375,0.001
7,2955.3154296875,0.001
8,2627.6787109375,0.001
9,2451.080078125,0.001
10,2470.28515625,0.001
11,2367.785888671875,0.001
12,2326.1767578125,0.001
13,2494.019287109375,0.001
14,2305.32568359375,0.001
15,2271.239013671875,0.001
16,2263.90087890625,0.001
17,2210.8779296875,0.001
18,2092.850830078125,0.001
19,2077.75390625,0.001
20,1947.012451171875,0.001
21,1946.07080078125,0.001
22,2034.5455322265625,0.001
23,2226.53955078125,0.001
24,2002.469482421875,0.001
25,2022.984619140625,0.001
26,1897.4417724609375,0.001
27,1865.609375,0.001
28,1793.884521484375,0.001
29,1855.0919189453125,0.001
30,1745.336669921875,0.001
31,1785.761962890625,0.001
32,1718.789794921875,0.001
33,1775.67236328125,0.001
34,1680.8045654296875,0.001
35,1644.763916015625,0.001
36,1759.2601318359375,0.001
37,1735.327880859375,0.001
38,1605.375732421875,0.001
39,1590.704345703125,0.001
40,1615.8585205078125,0.001
41,1619.2117919921875,0.001
42,1637.7218017578125,0.001
43,1626.037353515625,0.001
44,1817.4324951171875,0.001
45,1585.005615234375,0.001
46,1688.1793212890625,0.001
47,1555.61865234375,0.001
48,1532.64208984375,0.001
49,1568.1820068359375,0.001
50,1536.0218505859375,0.001
51,1553.005859375,0.001
52,1545.377685546875,0.001
53,1542.162109375,0.001
54,1537.1094970703125,0.001
55,1511.5211181640625,0.001
56,1597.3564453125,0.001
57,1541.3590087890625,0.001
58,1545.81689453125,0.001
59,1548.4957275390625,0.001
60,1576.6683349609375,0.001
61,1437.063232421875,0.001
62,1531.9544677734375,0.001
63,1478.9949951171875,0.001
64,1460.395263671875,0.001
65,1433.416259765625,0.001
66,1547.44677734375,0.001
67,1466.96630859375,0.001
68,1381.63916015625,0.001
69,1451.37841796875,0.001
70,1434.2501220703125,0.001
71,1393.2298583984375,0.001
72,1426.76318359375,0.001
73,1431.94482421875,0.001
74,1391.6519775390625,0.001
75,1396.336181640625,0.001
76,1360.4329833984375,0.001
77,1375.4171142578125,0.001
78,1393.548828125,0.001
79,1399.8475341796875,0.001
80,1378.825439453125,0.001
81,1337.3446044921875,0.001
82,1366.7562255859375,0.001
83,1354.7083740234375,0.001
84,1348.4932861328125,0.001
85,1411.2239990234375,0.001
86,1337.8775634765625,0.001
87,1293.1968994140625,0.001
88,1338.001953125,0.001
89,1305.41357421875,0.001
90,1303.9971923828125,0.001
91,1293.222412109375,0.001
92,1283.15673828125,0.001
93,1321.6868896484375,0.001
94,1349.072021484375,0.001
95,1301.67626953125,0.001
96,1345.643798828125,0.001
97,1275.4853515625,0.001
98,1300.488037109375,0.001
99,1319.014404296875,0.001
100,1290.46240234375,0.001
101,1266.48095703125,0.001
102,1274.179931640625,0.001
103,1348.1201171875,0.001
104,1293.0943603515625,0.001
105,1219.93994140625,0.001
106,1317.172119140625,0.001
107,1307.994873046875,0.001
108,1232.2899169921875,0.001
109,1286.33349609375,0.001
110,1249.171875,0.001
111,1285.42431640625,0.001
112,1231.605224609375,0.001
113,1258.601318359375,0.001
114,1215.41259765625,0.001
115,1202.260009765625,0.001
116,1316.303955078125,0.001
117,1244.4007568359375,0.001
118,1287.2705078125,0.001
119,1279.761962890625,0.001
120,1236.08837890625,0.001
121,1244.153564453125,0.001
122,1280.78173828125,0.001
123,1223.776611328125,0.001
124,1257.974609375,0.001
125,1277.8370361328125,0.001
126,1228.287353515625,0.001
127,1242.4344482421875,0.001
128,1273.388671875,0.001
129,1211.8057861328125,0.001
130,1194.558837890625,0.001
131,1167.9169921875,0.001
132,1273.45947265625,0.001
133,1144.0362548828125,0.001
134,1173.8116455078125,0.001
135,1164.417236328125,0.001
136,1185.089599609375,0.001
137,1169.816650390625,0.001
138,1163.0164794921875,0.001
139,1190.1409912109375,0.001
140,1168.5936279296875,0.001
141,1171.9580078125,0.001
142,1180.2958984375,0.001
143,1148.9599609375,0.001
144,1135.038330078125,0.001
145,1158.15185546875,0.001
146,1127.247314453125,0.001
147,1150.9371337890625,0.001
148,1138.59033203125,0.001
149,1160.659423828125,0.001
150,1140.534423828125,0.001
151,1184.611083984375,0.001
152,1146.0198974609375,0.001
153,1128.8701171875,0.001
154,1108.11181640625,0.001
155,1141.2952880859375,0.001
156,1126.9285888671875,0.001
157,1103.787353515625,0.001
158,1097.681640625,0.001
159,1103.8641357421875,0.001
160,1132.138427734375,0.001
161,1082.333740234375,0.001
162,1093.64892578125,0.001
163,1107.28955078125,0.001
164,1066.269775390625,0.001
165,1116.328857421875,0.001
166,1057.1153564453125,0.001
167,1064.568115234375,0.001
168,1056.266845703125,0.001
169,1067.2803955078125,0.001
170,1055.787841796875,0.001
171,1030.204345703125,0.001
172,1057.505615234375,0.001
173,1048.56787109375,0.001
174,1098.5592041015625,0.001
175,1039.90478515625,0.001
176,1038.37451171875,0.001
177,1038.9619140625,0.001
178,1054.21728515625,0.001
179,1059.88427734375,0.001
180,1048.010986328125,0.001
181,1083.05859375,0.001
182,1059.6275634765625,0.001
183,1070.115234375,0.001
184,1070.51708984375,0.001
185,1087.847412109375,0.001
186,1064.57177734375,0.001
187,1045.848876953125,0.001
188,1057.8699951171875,0.001
189,1051.447021484375,0.001
190,1046.637451171875,0.001
191,1104.255126953125,0.001
192,1057.077880859375,0.001
193,1082.959716796875,0.001
194,1093.052490234375,0.001
195,1085.8330078125,0.001
196,1028.25439453125,0.001
197,1053.1925048828125,0.001
198,1053.6572265625,0.001
199,1016.4683227539062,0.001
200,1043.5242919921875,0.001
201,1063.1949462890625,0.001
202,1011.8960571289062,0.001
203,1035.332275390625,0.001
204,1019.5597534179688,0.001
205,998.4356689453125,0.001
206,1026.450439453125,0.001
207,993.0070190429688,0.001
208,1013.3535766601562,0.001
209,974.4663696289062,0.001
210,986.0772094726562,0.001
211,983.0046997070312,0.001
212,996.9962768554688,0.001
213,989.996337890625,0.001
214,988.2718505859375,0.001
215,960.6763916015625,0.001
