iteration,loss,lr
0,8003.9091796875,0.001
1,7128.181640625,0.001
2,5425.86279296875,0.001
3,3226.54736328125,0.001
4,2800.309814453125,0.001
5,2386.916015625,0.001
6,2317.390625,0.001
7,2269.596435546875,0.001
8,2027.633056640625,0.001
9,1934.790771484375,0.001
10,1890.44482421875,0.001
11,1753.2841796875,0.001
12,1623.6221923828125,0.001
13,1681.1181640625,0.001
14,1567.57568359375,0.001
15,1734.10693359375,0.001
16,1546.817626953125,0.001
17,1752.6180419921875,0.001
18,1529.802001953125,0.001
19,1525.4232177734375,0.001
20,1501.729248046875,0.001
21,1483.94140625,0.001
22,1486.16796875,0.001
23,1459.4110107421875,0.001
24,1460.9228515625,0.001
25,1534.7470703125,0.001
26,1428.125,0.001
27,1475.668212890625,0.001
28,1449.401123046875,0.001
29,1518.465576171875,0.001
30,1463.0159912109375,0.001
31,1448.759033203125,0.001
32,1402.6102294921875,0.001
33,1447.112060546875,0.001
34,1469.8134765625,0.001
35,1358.184326171875,0.001
36,1492.450439453125,0.001
37,1335.9190673828125,0.001
38,1333.691162109375,0.001
39,1324.9588623046875,0.001
40,1277.75634765625,0.001
41,1330.193603515625,0.001
42,1329.164306640625,0.001
43,1252.813232421875,0.001
44,1265.0926513671875,0.001
45,1233.59423828125,0.001
46,1309.118408203125,0.001
47,1203.121826171875,0.001
48,1258.924072265625,0.001
49,1274.6201171875,0.001
50,1252.06591796875,0.001
51,1215.218505859375,0.001
52,1326.513427734375,0.001
53,1314.1832275390625,0.001
54,1277.8984375,0.001
55,1198.3526611328125,0.001
56,1169.846435546875,0.001
57,1199.412353515625,0.001
58,1213.0361328125,0.001
59,1201.373779296875,0.001
60,1159.410888671875,0.001
61,1173.57470703125,0.001
62,1166.795654296875,0.001
63,1171.3785400390625,0.001
64,1160.439208984375,0.001
65,1107.6796875,0.001
66,1137.4169921875,0.001
67,1106.23828125,0.001
68,1115.6492919921875,0.001
69,1141.137939453125,0.001
70,1115.3955078125,0.001
71,1118.4720458984375,0.001
72,1152.9991455078125,0.001
73,1139.770751953125,0.001
74,1116.133544921875,0.001
75,1122.0831298828125,0.001
76,1097.3236083984375,0.001
77,1109.37548828125,0.001
78,1110.7513427734375,0.001
79,1077.114990234375,0.001
80,1127.753662109375,0.001
81,1096.560791015625,0.001
82,1088.533203125,0.001
83,1095.8345947265625,0.001
84,1085.409912109375,0.001
85,1051.992919921875,0.001
86,1061.4827880859375,0.001
87,1172.371826171875,0.001
88,1078.7750244140625,0.001
89,1060.873046875,0.001
90,997.4260864257812,0.001
91,1007.8491821289062,0.001
92,1057.9014892578125,0.001
93,1024.109619140625,0.001
94,1016.82373046875,0.001
95,1056.753173828125,0.001
96,1036.894775390625,0.001
97,1002.736083984375,0.001
98,1028.4412841796875,0.001
99,1091.369873046875,0.001
100,1051.18994140625,0.001
101,954.7124633789062,0.001
102,1006.8861083984375,0.001
103,957.9786376953125,0.001
104,1004.2935791015625,0.001
105,941.71728515625,0.001
106,973.5902099609375,0.001
107,959.4984130859375,0.001
108,950.9832763671875,0.001
109,924.8973388671875,0.001
110,908.835693359375,0.001
111,932.9342041015625,0.001
112,969.6712036132812,0.001
113,894.1439819335938,0.001
114,919.4905395507812,0.001
115,927.4959716796875,0.001
116,944.2108154296875,0.001
117,928.126220703125,0.001
118,873.0812377929688,0.001
119,925.5172119140625,0.001
120,968.569580078125,0.001
121,866.5708618164062,0.001
122,935.97412109375,0.001
123,905.4692993164062,0.001
124,929.78955078125,0.001
125,903.7197875976562,0.001
126,884.1560668945312,0.001
127,1002.8504638671875,0.001
128,1014.5490112304688,0.001
129,963.153564453125,0.001
130,968.4053955078125,0.001
131,931.0712890625,0.001
132,941.0125732421875,0.001
133,950.6036376953125,0.001
134,931.4179077148438,0.001
135,925.1700439453125,0.001
136,950.1978759765625,0.001
137,933.1810302734375,0.001
138,905.119873046875,0.001
139,848.9744262695312,0.001
140,870.7589111328125,0.001
141,867.69189453125,0.001
142,865.5332641601562,0.001
143,844.1806030273438,0.001
144,864.145751953125,0.001
145,859.8731689453125,0.001
146,899.66796875,0.001
147,837.847900390625,0.001
148,940.0499267578125,0.001
149,883.4508056640625,0.001
150,830.166015625,0.001
151,842.0780029296875,0.001
152,812.628173828125,0.001
153,840.6611938476562,0.001
154,869.7830200195312,0.001
155,834.96337890625,0.001
156,826.7604370117188,0.001
157,836.5060424804688,0.001
158,806.2257080078125,0.001
159,826.1705322265625,0.001
160,836.6229248046875,0.001
161,829.074951171875,0.001
162,817.2095947265625,0.001
163,825.5858154296875,0.001
164,814.1397705078125,0.001
165,802.9932861328125,0.001
166,850.7186279296875,0.001
167,854.6400146484375,0.001
168,823.4586791992188,0.001
169,789.5202026367188,0.001
170,824.0335693359375,0.001
171,780.0220947265625,0.001
172,762.8843383789062,0.001
173,760.3290405273438,0.001
174,755.9822387695312,0.001
175,742.7926635742188,0.001
176,771.8646240234375,0.001
177,751.080322265625,0.001
178,746.4960327148438,0.001
179,755.7254638671875,0.001
180,790.5361328125,0.001
181,760.33544921875,0.001
182,755.226806640625,0.001
183,752.6181640625,0.001
184,783.8287353515625,0.001
185,733.015869140625,0.001
186,748.2020263671875,0.001
187,739.7484130859375,0.001
188,724.63427734375,0.001
189,720.1802978515625,0.001
190,747.4368896484375,0.001
191,707.7314453125,0.001
192,744.413818359375,0.001
193,716.9954223632812,0.001
194,742.457275390625,0.001
195,722.1131591796875,0.001
196,710.6396484375,0.001
197,724.30322265625,0.001
198,718.3665771484375,0.001
199,705.0997314453125,0.001
200,717.6748046875,0.001
201,725.8359375,0.001
202,708.8973388671875,0.001
203,689.478515625,0.001
204,699.1583251953125,0.001
205,705.2161254882812,0.001
206,706.2764282226562,0.001
207,718.6199951171875,0.001
208,689.84814453125,0.001
209,668.58349609375,0.001
210,681.60205078125,0.001
211,699.7444458007812,0.001
212,677.4520263671875,0.001
213,666.4828491210938,0.001
214,695.6046752929688,0.001
215,715.41796875,0.001
216,673.21875,0.001
217,659.9850463867188,0.001
218,695.9200439453125,0.001
219,655.0260009765625,0.001
220,673.1077270507812,0.001
221,659.8593139648438,0.001
222,666.5164184570312,0.001
223,714.9633178710938,0.001
224,722.630615234375,0.001
225,704.1292724609375,0.001
226,690.4227294921875,0.001
227,721.0787353515625,0.001
228,659.6754760742188,0.001
229,696.06201171875,0.001
230,671.9384765625,0.001
231,697.5975341796875,0.001
232,651.8787231445312,0.001
233,656.1705322265625,0.001
234,660.214599609375,0.001
235,659.2717895507812,0.001
236,646.867431640625,0.001
237,658.8779296875,0.001
238,657.4669189453125,0.001
239,644.559814453125,0.001
240,638.5103149414062,0.001
241,646.2738037109375,0.001
242,666.4487915039062,0.001
243,674.353515625,0.001
244,641.507568359375,0.001
245,647.5062255859375,0.001
246,658.5223388671875,0.001
247,628.9666748046875,0.001
248,669.6958618164062,0.001
249,636.9682006835938,0.001
250,650.79345703125,0.001
251,662.103515625,0.001
252,628.7454223632812,0.001
253,642.2476196289062,0.001
254,618.7532348632812,0.001
255,619.929443359375,0.001
256,623.9882202148438,0.001
257,644.6785278320312,0.001
258,624.65673828125,0.001
259,631.244873046875,0.001
260,637.7763671875,0.001
261,650.448486328125,0.001
262,613.0946044921875,0.001
263,636.326904296875,0.001
264,603.6922607421875,0.001
265,608.938232421875,0.001
266,600.0192260742188,0.001
267,595.34033203125,0.001
268,621.211181640625,0.001
269,597.3672485351562,0.001
270,613.26806640625,0.001
271,595.3160400390625,0.001
272,590.19384765625,0.001
273,593.4376831054688,0.001
274,607.818115234375,0.001
275,612.1968994140625,0.001
276,568.7647705078125,0.001
277,618.5084228515625,0.001
278,573.3536987304688,0.001
279,589.27978515625,0.001
280,612.612060546875,0.001
281,627.6886596679688,0.001
282,574.924560546875,0.001
283,577.0335693359375,0.001
284,578.0156860351562,0.001
285,568.9342041015625,0.001
286,590.094482421875,0.001
287,575.698486328125,0.001
288,571.666748046875,0.001
289,600.064208984375,0.001
290,572.0991821289062,0.001
291,586.725830078125,0.001
292,575.7784423828125,0.001
293,589.3515625,0.001
294,570.89453125,0.001
295,565.8123779296875,0.001
296,574.72412109375,0.001
297,586.427001953125,0.001
298,558.4720458984375,0.001
299,557.8736572265625,0.001
300,596.4274291992188,0.001
301,550.26806640625,0.001
302,566.659912109375,0.001
303,545.2211303710938,0.001
304,548.8878173828125,0.001
305,522.6329345703125,0.001
306,556.501708984375,0.001
307,538.1365966796875,0.001
308,555.7861328125,0.001
309,536.2000122070312,0.001
310,558.2913818359375,0.001
311,568.083984375,0.001
312,558.6879272460938,0.001
313,541.6461181640625,0.001
314,542.61181640625,0.001
315,569.9263916015625,0.001
316,560.0602416992188,0.001
317,534.0011596679688,0.001
318,538.6692504882812,0.001
319,514.1878051757812,0.001
320,529.3785400390625,0.001
321,532.5419921875,0.001
322,509.73919677734375,0.001
323,531.7774047851562,0.001
324,524.4259033203125,0.001
325,536.2025146484375,0.001
326,504.6498107910156,0.001
327,516.3696899414062,0.001
328,503.6956787109375,0.001
329,527.758056640625,0.001
330,504.6963195800781,0.001
331,537.3003540039062,0.001
332,532.4466552734375,0.001
333,506.49481201171875,0.001
334,528.921142578125,0.001
335,538.6090698242188,0.001
336,513.6865234375,0.001
337,499.76885986328125,0.001
338,540.4820556640625,0.001
339,495.50726318359375,0.001
340,534.2322998046875,0.001
341,522.7945556640625,0.001
342,544.326904296875,0.001
343,501.79345703125,0.001
344,541.3657836914062,0.001
345,514.9547729492188,0.001
346,492.9382019042969,0.001
347,499.12176513671875,0.001
348,481.04302978515625,0.001
349,492.7296142578125,0.001
350,480.02801513671875,0.001
351,479.00164794921875,0.001
352,490.9888000488281,0.001
353,477.5198974609375,0.001
354,500.44873046875,0.001
355,480.02874755859375,0.001
356,494.42059326171875,0.001
357,490.85614013671875,0.001
358,510.9656677246094,0.001
359,505.16796875,0.001
360,495.11053466796875,0.001
361,503.88824462890625,0.001
362,496.03631591796875,0.001
363,493.1138916015625,0.001
364,503.28546142578125,0.001
365,493.376953125,0.001
366,500.7792663574219,0.001
367,503.0262756347656,0.001
368,491.91802978515625,0.001
369,487.1328125,0.001
370,497.34686279296875,0.001
371,479.32757568359375,0.001
372,488.00372314453125,0.001
373,495.82989501953125,0.001
374,476.3039855957031,0.001
375,492.8304138183594,0.001
376,511.10589599609375,0.001
377,472.4920654296875,0.001
378,458.54840087890625,0.001
379,472.8392333984375,0.001
380,469.64556884765625,0.001
381,461.1864013671875,0.001
382,463.965576171875,0.001
383,455.183837890625,0.001
384,473.361083984375,0.001
385,451.05267333984375,0.001
386,479.2594299316406,0.001
387,455.4496765136719,0.001
388,467.1725158691406,0.001
389,468.78253173828125,0.001
390,443.94573974609375,0.001
391,452.53387451171875,0.001
392,459.93255615234375,0.001
