iteration,loss,lr
0,1159.3251953125,0.001
1,1247.517578125,0.001
2,1007.3424072265625,0.001
3,756.6301879882812,0.001
4,551.8316650390625,0.001
5,480.69683837890625,0.001
6,413.72967529296875,0.001
7,389.2187194824219,0.001
8,404.1695556640625,0.001
9,382.9736328125,0.001
10,385.62799072265625,0.001
11,353.41943359375,0.001
12,374.09942626953125,0.001
13,367.2855529785156,0.001
14,365.826171875,0.001
15,335.9398193359375,0.001
16,327.616943359375,0.001
17,313.59771728515625,0.001
18,310.210693359375,0.001
19,302.52166748046875,0.001
20,290.0797424316406,0.001
21,287.0018615722656,0.001
22,274.0821228027344,0.001
23,333.308837890625,0.001
24,293.1429443359375,0.001
25,309.3096618652344,0.001
26,323.14996337890625,0.001
27,293.81658935546875,0.001
28,310.4603576660156,0.001
29,310.47430419921875,0.001
30,264.83258056640625,0.001
31,275.983642578125,0.001
32,249.085205078125,0.001
33,228.5223388671875,0.001
34,255.85585021972656,0.001
35,232.00045776367188,0.001
36,219.37741088867188,0.001
37,244.0048828125,0.001
38,238.1693115234375,0.001
39,210.62176513671875,0.001
40,219.93157958984375,0.001
41,206.54583740234375,0.001
42,200.02566528320312,0.001
43,193.21595764160156,0.001
44,195.76690673828125,0.001
45,205.11587524414062,0.001
46,237.69583129882812,0.001
47,220.63494873046875,0.001
48,268.8460693359375,0.001
49,275.53717041015625,0.001
50,226.68869018554688,0.001
51,247.98764038085938,0.001
52,204.36404418945312,0.001
53,201.29086303710938,0.001
54,226.1151123046875,0.001
55,224.10726928710938,0.001
56,230.10275268554688,0.001
57,261.1707763671875,0.001
58,218.65847778320312,0.001
59,215.09381103515625,0.001
60,259.71868896484375,0.001
61,199.9229736328125,0.001
62,215.24615478515625,0.001
63,229.20465087890625,0.001
64,191.45095825195312,0.001
65,197.54771423339844,0.001
66,203.69802856445312,0.001
67,181.7763671875,0.001
68,189.69091796875,0.001
69,197.93850708007812,0.001
70,178.96409606933594,0.001
71,218.32546997070312,0.001
72,163.90199279785156,0.001
73,212.7813720703125,0.001
74,224.0878448486328,0.001
75,167.48748779296875,0.001
76,239.81776428222656,0.001
77,172.25926208496094,0.001
78,180.67279052734375,0.001
79,166.25784301757812,0.001
80,159.32028198242188,0.001
81,152.57611083984375,0.001
82,175.18838500976562,0.001
83,160.3168182373047,0.001
84,159.7201690673828,0.001
85,146.4406280517578,0.001
86,163.73452758789062,0.001
87,147.6089324951172,0.001
88,151.54046630859375,0.001
89,145.06472778320312,0.001
90,142.14952087402344,0.001
91,138.31382751464844,0.001
92,177.16470336914062,0.001
93,150.27517700195312,0.001
94,163.5120849609375,0.001
95,147.87213134765625,0.001
96,155.53939819335938,0.001
97,143.16665649414062,0.001
98,158.51693725585938,0.001
99,146.609375,0.001
100,157.07449340820312,0.001
101,151.65887451171875,0.001
102,146.56507873535156,0.001
103,168.5170440673828,0.001
104,144.55926513671875,0.001
105,138.70672607421875,0.001
106,142.09674072265625,0.001
107,130.48155212402344,0.001
108,137.50747680664062,0.001
109,143.1287078857422,0.001
110,144.52713012695312,0.001
111,148.55654907226562,0.001
112,143.47987365722656,0.001
113,152.2576904296875,0.001
114,156.680419921875,0.001
115,131.6965789794922,0.001
116,137.82276916503906,0.001
117,156.99273681640625,0.001
118,130.94900512695312,0.001
119,141.3733367919922,0.001
120,138.9531707763672,0.001
121,134.865478515625,0.001
122,141.36656188964844,0.001
123,149.17430114746094,0.001
124,142.9285430908203,0.001
125,180.79666137695312,0.001
126,139.24537658691406,0.001
127,135.19137573242188,0.001
128,138.5362548828125,0.001
129,129.7691650390625,0.001
130,132.07601928710938,0.001
131,127.69664764404297,0.001
132,149.9711151123047,0.001
133,132.52011108398438,0.001
134,133.45724487304688,0.001
135,128.22976684570312,0.001
136,120.29508209228516,0.001
137,124.56409454345703,0.001
138,109.11868286132812,0.001
139,111.0237045288086,0.001
140,110.26935577392578,0.001
141,110.82110595703125,0.001
142,107.69709777832031,0.001
143,105.56082916259766,0.001
144,112.7041015625,0.001
145,112.34979248046875,0.001
146,106.37266540527344,0.001
147,130.29446411132812,0.001
148,106.51191711425781,0.001
149,109.28287506103516,0.001
150,105.3800277709961,0.001
151,96.83181762695312,0.001
152,115.83283996582031,0.001
153,106.93998718261719,0.001
154,101.54881286621094,0.001
155,108.90536499023438,0.001
156,96.92691040039062,0.001
157,111.10089111328125,0.001
158,103.92069244384766,0.001
159,102.85696411132812,0.001
160,101.57209777832031,0.001
161,93.91716003417969,0.001
162,99.56949615478516,0.001
163,103.07365417480469,0.001
164,96.53729248046875,0.001
165,102.84169006347656,0.001
166,114.04484558105469,0.001
167,88.67749786376953,0.001
168,167.48760986328125,0.001
169,120.39808654785156,0.001
170,113.01719665527344,0.001
171,111.940673828125,0.001
172,108.08967590332031,0.001
173,122.73102569580078,0.001
174,115.26702880859375,0.001
175,125.26014709472656,0.001
176,127.96121215820312,0.001
177,113.37932586669922,0.001
178,127.20690155029297,0.001
179,103.86334228515625,0.001
180,115.16874694824219,0.001
181,100.21202087402344,0.001
182,95.92433166503906,0.001
183,97.84988403320312,0.001
184,91.21975708007812,0.001
185,92.31001281738281,0.001
186,101.51121520996094,0.001
187,95.07401275634766,0.001
188,96.49452209472656,0.001
189,89.24041748046875,0.001
190,93.96187591552734,0.001
191,101.61683654785156,0.001
192,86.3038558959961,0.001
193,88.53974914550781,0.001
194,100.44705200195312,0.001
195,82.04217529296875,0.001
196,106.81866455078125,0.001
197,89.91984558105469,0.001
198,92.7755126953125,0.001
199,97.82867431640625,0.001
200,95.35697174072266,0.001
201,116.21115112304688,0.001
202,89.18721008300781,0.001
203,112.87356567382812,0.001
204,95.1172866821289,0.001
205,105.68089294433594,0.001
206,91.01234436035156,0.001
207,86.96807861328125,0.001
208,105.2769775390625,0.001
209,99.40716552734375,0.001
210,114.81413269042969,0.001
211,96.86802673339844,0.001
212,88.73365783691406,0.001
213,92.0119857788086,0.001
214,88.12152099609375,0.001
215,104.06048583984375,0.001
216,95.78334045410156,0.001
217,85.63494873046875,0.001
218,93.53266906738281,0.001
219,79.88610076904297,0.001
220,101.94474029541016,0.001
221,85.09307861328125,0.001
222,82.02630615234375,0.001
223,88.78620910644531,0.001
224,82.3898696899414,0.001
225,95.99127197265625,0.001
226,85.38457489013672,0.001
227,97.45536804199219,0.001
228,85.49235534667969,0.001
229,91.20804595947266,0.001
230,75.36235046386719,0.001
231,94.4760513305664,0.001
232,82.28755950927734,0.001
233,80.98655700683594,0.001
234,77.09917449951172,0.001
235,81.42652893066406,0.001
236,83.03741455078125,0.001
237,77.79995727539062,0.001
238,81.57508850097656,0.001
239,80.25381469726562,0.001
240,87.31623077392578,0.001
241,74.65033721923828,0.001
242,88.47637939453125,0.001
243,69.63165283203125,0.001
244,78.5387191772461,0.001
245,79.77793884277344,0.001
246,89.76116180419922,0.001
247,79.61451721191406,0.001
248,96.0916519165039,0.001
249,78.51838684082031,0.001
250,98.28160095214844,0.001
251,74.39323425292969,0.001
252,112.43685913085938,0.001
253,81.90153503417969,0.001
254,85.85243225097656,0.001
255,91.81814575195312,0.001
256,76.10618591308594,0.001
257,86.52449798583984,0.001
258,89.13802337646484,0.001
259,77.79820251464844,0.001
260,85.02888488769531,0.001
261,76.62782287597656,0.001
262,76.18904113769531,0.001
263,82.3797607421875,0.001
264,70.85906982421875,0.001
265,78.24095153808594,0.001
266,72.00125122070312,0.001
267,84.4445571899414,0.001
268,72.94374084472656,0.001
269,77.49996948242188,0.001
270,68.15887451171875,0.001
271,71.36210632324219,0.001
272,73.37059020996094,0.001
273,66.47936248779297,0.001
274,71.32292175292969,0.001
275,70.73670959472656,0.001
276,70.1121826171875,0.001
277,70.15752410888672,0.001
278,68.4721908569336,0.001
279,65.85562133789062,0.001
280,64.69275665283203,0.001
281,67.65922546386719,0.001
282,62.711181640625,0.001
283,77.38624572753906,0.001
284,65.28934478759766,0.001
285,75.94510650634766,0.001
286,65.50028991699219,0.001
287,66.40858459472656,0.001
288,64.66069793701172,0.001
289,67.40795135498047,0.001
290,58.71642303466797,0.001
291,62.789085388183594,0.001
292,63.376808166503906,0.001
293,65.48609924316406,0.001
294,75.77033996582031,0.001
295,83.44099426269531,0.001
296,60.930686950683594,0.001
297,59.5467414855957,0.001
298,76.30809783935547,0.001
299,66.55948638916016,0.001
300,70.66410064697266,0.001
301,63.850303649902344,0.001
302,81.69203186035156,0.001
303,70.05186462402344,0.001
304,73.3580551147461,0.001
305,74.08879089355469,0.001
306,72.21463012695312,0.001
307,68.6822509765625,0.001
308,69.9210205078125,0.001
309,68.67596435546875,0.001
310,68.8151626586914,0.001
311,59.573516845703125,0.001
312,66.35794830322266,0.001
313,64.7056655883789,0.001
314,73.777587890625,0.001
315,76.62782287597656,0.001
316,64.9294662475586,0.001
317,70.74604797363281,0.001
318,65.9326171875,0.001
319,65.73692321777344,0.001
320,69.99246215820312,0.001
321,63.486881256103516,0.001
322,67.86293029785156,0.001
323,65.56332397460938,0.001
324,67.99801635742188,0.001
325,61.785057067871094,0.001
326,66.973388671875,0.001
327,61.325992584228516,0.001
328,58.42156982421875,0.001
329,60.415367126464844,0.001
330,60.862823486328125,0.001
331,67.51545715332031,0.001
332,63.61134338378906,0.001
333,68.22222137451172,0.001
334,66.77532958984375,0.001
335,63.73902893066406,0.001
336,60.96820831298828,0.001
337,61.53345489501953,0.001
338,57.377593994140625,0.001
339,59.169342041015625,0.001
340,55.63780975341797,0.001
341,54.74803924560547,0.001
342,51.80835723876953,0.001
343,54.4210205078125,0.001
344,50.34082794189453,0.001
345,52.49399948120117,0.001
346,51.758575439453125,0.001
347,50.300880432128906,0.001
348,53.47874069213867,0.001
349,53.52470016479492,0.001
350,50.98135757446289,0.001
351,49.25498962402344,0.001
352,48.673667907714844,0.001
353,51.7374267578125,0.001
354,50.0970344543457,0.001
355,54.253910064697266,0.001
356,48.26221466064453,0.001
357,56.82065963745117,0.001
358,48.86515808105469,0.001
359,58.5582275390625,0.001
360,52.72832107543945,0.001
361,55.77049255371094,0.001
362,67.66781616210938,0.001
363,55.61290740966797,0.001
364,67.49462890625,0.001
365,56.200462341308594,0.001
366,58.68108367919922,0.001
367,59.515132904052734,0.001
368,59.1436882019043,0.001
369,55.50206756591797,0.001
370,63.0775146484375,0.001
371,59.87895584106445,0.001
372,55.345703125,0.001
373,56.24924087524414,0.001
374,52.32683563232422,0.001
375,55.70115280151367,0.001
376,55.683143615722656,0.001
377,55.668792724609375,0.001
378,54.810997009277344,0.001
379,56.609832763671875,0.001
380,58.08650207519531,0.001
381,54.533409118652344,0.001
382,63.570457458496094,0.001
383,47.27835464477539,0.001
384,63.90123748779297,0.001
385,58.671653747558594,0.001
386,58.238346099853516,0.001
387,54.6037712097168,0.001
388,54.79580307006836,0.001
389,50.39675521850586,0.001
390,48.72651672363281,0.001
391,55.35059356689453,0.001
392,47.73143005371094,0.001
393,62.03521728515625,0.001
394,57.674686431884766,0.001
395,53.52980041503906,0.001
396,59.47001647949219,0.001
397,58.578857421875,0.001
398,62.95067596435547,0.001
399,48.591949462890625,0.001
400,65.49288940429688,0.001
401,45.14548110961914,0.001
402,58.82498550415039,0.001
403,46.03254699707031,0.001
404,49.099273681640625,0.001
405,51.149532318115234,0.001
406,49.02677917480469,0.001
407,49.96704864501953,0.001
408,46.176170349121094,0.001
409,48.3975944519043,0.001
410,49.453399658203125,0.001
411,46.442848205566406,0.001
412,51.676151275634766,0.001
413,41.79991912841797,0.001
414,49.185874938964844,0.001
415,43.326080322265625,0.001
416,46.115901947021484,0.001
417,44.6990966796875,0.001
418,45.64535140991211,0.001
419,43.272769927978516,0.001
420,44.63616180419922,0.001
421,40.92096710205078,0.001
422,45.520206451416016,0.001
423,43.906471252441406,0.001
424,42.55650329589844,0.001
425,47.22651290893555,0.001
426,41.25011444091797,0.001
427,43.42002868652344,0.001
428,41.645572662353516,0.001
429,42.364402770996094,0.001
430,40.4226188659668,0.001
431,43.343345642089844,0.001
432,41.80719757080078,0.001
433,44.659339904785156,0.001
434,48.40576934814453,0.001
435,44.377662658691406,0.001
436,43.75384521484375,0.001
437,39.37826156616211,0.001
438,45.997718811035156,0.001
439,42.7476806640625,0.001
440,46.62995529174805,0.001
441,39.769134521484375,0.001
442,42.93397521972656,0.001
443,40.449249267578125,0.001
444,41.401458740234375,0.001
445,37.94124221801758,0.001
446,39.80463790893555,0.001
447,38.089698791503906,0.001
448,39.34019470214844,0.001
449,38.47920608520508,0.001
450,40.00848388671875,0.001
451,43.960289001464844,0.001
452,42.212093353271484,0.001
453,48.4965934753418,0.001
454,49.16023254394531,0.001
455,52.39243698120117,0.001
456,44.80622482299805,0.001
457,43.604400634765625,0.001
458,45.958168029785156,0.001
459,41.03461837768555,0.001
460,47.96276092529297,0.001
461,44.749176025390625,0.001
462,45.844017028808594,0.001
463,51.98337173461914,0.001
464,45.18256378173828,0.001
465,43.88741683959961,0.001
466,39.99909591674805,0.001
467,40.91719055175781,0.001
468,41.44700622558594,0.001
469,40.16960906982422,0.001
470,42.42329406738281,0.001
471,41.99597930908203,0.001
472,41.833282470703125,0.001
473,38.544795989990234,0.001
474,41.594093322753906,0.001
475,40.29705810546875,0.001
476,39.2000617980957,0.001
477,39.892757415771484,0.001
478,36.689640045166016,0.001
479,37.38566207885742,0.001
480,39.329124450683594,0.001
481,36.412498474121094,0.001
482,37.21308135986328,0.001
483,41.64701461791992,0.001
484,48.054664611816406,0.001
485,36.222721099853516,0.001
486,51.710594177246094,0.001
487,37.02128601074219,0.001
488,42.759765625,0.001
489,35.920372009277344,0.001
490,48.80552673339844,0.001
491,38.67438507080078,0.001
492,40.563331604003906,0.001
493,40.2330436706543,0.001
494,40.2428092956543,0.001
495,40.53621292114258,0.001
496,37.34880828857422,0.001
497,42.952178955078125,0.001
498,39.49003219604492,0.001
499,45.0078239440918,0.001
500,42.92167282104492,0.001
501,44.58521270751953,0.001
502,46.57170867919922,0.001
503,39.80674743652344,0.001
504,44.62187194824219,0.001
505,38.83758544921875,0.001
506,43.812278747558594,0.001
507,39.059078216552734,0.001
508,42.31383514404297,0.001
509,39.2003059387207,0.001
510,41.95809555053711,0.001
511,37.55559539794922,0.001
512,43.411376953125,0.001
513,39.031028747558594,0.001
514,49.493770599365234,0.001
515,40.396446228027344,0.001
516,55.206565856933594,0.001
517,49.27149963378906,0.001
518,43.791709899902344,0.001
519,45.917442321777344,0.001
520,47.08634948730469,0.001
521,40.71612548828125,0.001
522,51.71531677246094,0.001
523,44.72220993041992,0.001
524,47.05953598022461,0.001
525,46.803184509277344,0.001
526,45.475067138671875,0.001
527,42.29685974121094,0.001
528,44.49103927612305,0.001
529,40.65861129760742,0.001
530,42.63200759887695,0.001
531,39.73613739013672,0.001
532,40.167724609375,0.001
533,40.94676971435547,0.001
534,38.18158721923828,0.001
535,39.76858139038086,0.001
536,39.60475158691406,0.001
537,39.00244140625,0.001
538,37.310546875,0.001
539,35.559303283691406,0.001
540,36.84288024902344,0.001
541,36.487728118896484,0.001
542,35.50630569458008,0.001
543,35.342288970947266,0.001
544,37.93028259277344,0.001
545,40.647525787353516,0.001
546,37.19100570678711,0.001
547,36.85904312133789,0.001
548,36.036834716796875,0.001
549,36.5018196105957,0.001
550,36.27061462402344,0.001
551,39.40699768066406,0.001
552,35.55475616455078,0.001
553,37.88029479980469,0.001
554,34.62523651123047,0.001
555,33.762779235839844,0.001
556,34.066856384277344,0.001
557,35.0101318359375,0.001
558,34.760581970214844,0.001
559,36.07499694824219,0.001
560,35.892181396484375,0.001
561,36.88393020629883,0.001
562,43.11225128173828,0.001
563,35.98262405395508,0.001
564,39.13304138183594,0.001
565,37.46856689453125,0.001
566,38.498985290527344,0.001
567,42.455894470214844,0.001
568,33.678470611572266,0.001
569,36.6566276550293,0.001
570,33.86704635620117,0.001
571,33.77483367919922,0.001
572,34.483455657958984,0.001
573,33.36486053466797,0.001
574,33.38640594482422,0.001
575,34.496665954589844,0.001
576,34.700218200683594,0.001
577,32.272972106933594,0.001
578,31.812026977539062,0.001
579,31.876163482666016,0.001
580,32.38044738769531,0.001
581,32.24309539794922,0.001
582,32.05921173095703,0.001
583,33.19148254394531,0.001
584,32.25513458251953,0.001
585,35.01288986206055,0.001
586,32.91534423828125,0.001
587,35.105499267578125,0.001
588,34.10121154785156,0.001
589,37.06397247314453,0.001
590,33.982635498046875,0.001
591,35.46211624145508,0.001
592,35.0000114440918,0.001
593,37.97761154174805,0.001
594,35.23283386230469,0.001
595,37.51078796386719,0.001
596,36.8762092590332,0.001
597,38.22465515136719,0.001
598,41.01927947998047,0.001
599,40.653114318847656,0.001
600,44.67901611328125,0.001
601,39.38557052612305,0.001
602,59.94264221191406,0.001
603,37.18431091308594,0.001
604,45.824073791503906,0.001
605,45.81678771972656,0.001
606,41.4171257019043,0.001
607,46.79533767700195,0.001
608,37.49244689941406,0.001
609,47.832183837890625,0.001
610,36.74773406982422,0.001
611,46.82511901855469,0.001
612,34.55022430419922,0.001
613,44.847286224365234,0.001
614,34.671409606933594,0.001
615,40.40796661376953,0.001
616,35.50677490234375,0.001
617,36.53392791748047,0.001
618,37.14822769165039,0.001
619,35.083091735839844,0.001
620,35.45901107788086,0.001
621,34.03211212158203,0.001
622,34.01695251464844,0.001
623,33.73683166503906,0.001
624,32.86000061035156,0.001
625,32.2738037109375,0.001
626,31.19140625,0.001
627,31.7305965423584,0.001
628,33.969791412353516,0.001
629,33.928245544433594,0.001
630,34.24976348876953,0.001
631,32.20429992675781,0.001
632,30.878902435302734,0.001
633,33.28717041015625,0.001
634,34.4751091003418,0.001
635,33.700626373291016,0.001
636,31.973140716552734,0.001
637,31.34789276123047,0.001
638,31.453392028808594,0.001
639,34.0344123840332,0.001
640,32.021148681640625,0.001
641,32.891143798828125,0.001
642,33.08068084716797,0.001
643,32.948036193847656,0.001
644,31.887910842895508,0.001
645,31.15543556213379,0.001
646,32.27660369873047,0.001
647,32.39129638671875,0.001
648,29.833953857421875,0.001
649,31.02277946472168,0.001
650,30.085216522216797,0.001
651,28.639663696289062,0.001
652,31.9935302734375,0.001
653,29.354238510131836,0.001
654,30.697898864746094,0.001
655,31.120174407958984,0.001
656,29.294429779052734,0.001
657,31.13422393798828,0.001
658,32.77684783935547,0.001
659,31.18807029724121,0.001
660,42.57033157348633,0.001
661,33.06071472167969,0.001
