iteration,loss,lr
0,5696.79541015625,0.001
1,5838.4580078125,0.001
2,5310.50390625,0.001
3,4456.11767578125,0.001
4,4449.19677734375,0.001
5,4001.247802734375,0.001
6,3998.46826171875,0.001
7,3410.646240234375,0.001
8,3404.52294921875,0.001
9,3117.826171875,0.001
10,3052.412353515625,0.001
11,2881.149169921875,0.001
12,3077.501953125,0.001
13,2923.443603515625,0.001
14,2766.06494140625,0.001
15,2684.19677734375,0.001
16,2543.28466796875,0.001
17,2495.41455078125,0.001
18,2359.1435546875,0.001
19,2418.11474609375,0.001
20,2521.963134765625,0.001
21,2326.090576171875,0.001
22,2283.656982421875,0.001
23,2191.718505859375,0.001
24,2072.509033203125,0.001
25,2323.685546875,0.001
26,2087.619140625,0.001
27,2107.768798828125,0.001
28,2308.412109375,0.001
29,2056.492919921875,0.001
30,2005.55908203125,0.001
31,1893.00537109375,0.001
32,1916.023193359375,0.001
33,1875.5595703125,0.001
34,1878.560546875,0.001
35,1906.266357421875,0.001
36,1758.789794921875,0.001
37,1732.947021484375,0.001
38,1967.2601318359375,0.001
39,1829.122314453125,0.001
40,1765.043212890625,0.001
41,1735.447998046875,0.001
42,1680.633544921875,0.001
43,1913.0916748046875,0.001
44,1760.528076171875,0.001
45,1806.535888671875,0.001
46,1868.1326904296875,0.001
47,1900.7099609375,0.001
48,1762.6248779296875,0.001
49,1852.830322265625,0.001
50,1610.3330078125,0.001
51,1740.9547119140625,0.001
52,1802.4788818359375,0.001
53,1611.4208984375,0.001
54,1778.96533203125,0.001
55,1635.62841796875,0.001
56,1566.2532958984375,0.001
57,1599.6484375,0.001
58,1659.587158203125,0.001
59,1660.135009765625,0.001
60,1701.81396484375,0.001
61,1580.9541015625,0.001
62,1539.53125,0.001
63,1555.1728515625,0.001
64,1595.75341796875,0.001
65,1528.285888671875,0.001
66,1468.671630859375,0.001
67,1571.2286376953125,0.001
68,1453.49755859375,0.001
69,1485.40576171875,0.001
70,1718.99267578125,0.001
71,1510.876708984375,0.001
72,1561.1748046875,0.001
73,1593.430908203125,0.001
74,1468.370849609375,0.001
75,1390.770263671875,0.001
76,1419.005859375,0.001
77,1590.4638671875,0.001
78,1524.0728759765625,0.001
79,1458.9033203125,0.001
80,1465.917724609375,0.001
81,1474.06787109375,0.001
82,1430.098388671875,0.001
83,1418.204345703125,0.001
84,1306.4405517578125,0.001
85,1388.32080078125,0.001
86,1324.0250244140625,0.001
87,1359.78955078125,0.001
88,1331.398193359375,0.001
89,1393.364501953125,0.001
90,1275.517333984375,0.001
91,1267.7501220703125,0.001
92,1306.6036376953125,0.001
93,1408.030029296875,0.001
94,1439.246337890625,0.001
95,1315.197509765625,0.001
96,1219.4053955078125,0.001
97,1239.347900390625,0.001
98,1337.309326171875,0.001
99,1281.406005859375,0.001
100,1211.011474609375,0.001
101,1203.7017822265625,0.001
102,1325.204345703125,0.001
103,1268.0091552734375,0.001
104,1251.846435546875,0.001
105,1245.2197265625,0.001
106,1256.5111083984375,0.001
107,1194.75341796875,0.001
108,1188.7470703125,0.001
109,1431.9852294921875,0.001
110,1193.173828125,0.001
111,1265.760009765625,0.001
112,1282.6197509765625,0.001
113,1171.066162109375,0.001
114,1253.9892578125,0.001
115,1233.218017578125,0.001
116,1316.0963134765625,0.001
117,1259.7955322265625,0.001
118,1155.678955078125,0.001
119,1107.828369140625,0.001
120,1214.74072265625,0.001
121,1105.262451171875,0.001
122,1131.5570068359375,0.001
123,1092.16162109375,0.001
124,1106.4014892578125,0.001
125,1133.72265625,0.001
126,1208.0294189453125,0.001
127,1077.1170654296875,0.001
128,1253.25048828125,0.001
129,1094.1051025390625,0.001
130,1169.1517333984375,0.001
131,1263.47021484375,0.001
132,1173.89697265625,0.001
133,1183.47802734375,0.001
134,1236.549560546875,0.001
135,1063.1959228515625,0.001
136,1096.380615234375,0.001
137,1078.5997314453125,0.001
138,1148.1693115234375,0.001
139,1095.642578125,0.001
140,1094.3714599609375,0.001
141,1062.91455078125,0.001
142,1037.3538818359375,0.001
143,1044.857421875,0.001
144,1080.144287109375,0.001
145,1104.8157958984375,0.001
146,1026.67431640625,0.001
147,1058.4544677734375,0.001
148,1108.0670166015625,0.001
149,1039.931396484375,0.001
150,1051.0487060546875,0.001
151,1120.837646484375,0.001
152,1026.927734375,0.001
153,1025.2349853515625,0.001
154,1075.640869140625,0.001
155,1057.0885009765625,0.001
156,1054.1832275390625,0.001
157,956.8212890625,0.001
158,1035.325927734375,0.001
159,993.29443359375,0.001
160,985.0101318359375,0.001
161,933.3560791015625,0.001
162,1013.71484375,0.001
163,979.0966186523438,0.001
164,936.2645263671875,0.001
165,1007.9107666015625,0.001
166,918.1194458007812,0.001
167,948.7716064453125,0.001
168,922.168701171875,0.001
169,934.1607666015625,0.001
170,897.7535400390625,0.001
171,957.6588134765625,0.001
172,901.244873046875,0.001
173,897.0300903320312,0.001
174,907.6491088867188,0.001
175,867.9618530273438,0.001
176,889.353759765625,0.001
177,927.37646484375,0.001
178,944.315185546875,0.001
179,892.6629028320312,0.001
180,878.51123046875,0.001
181,934.7791748046875,0.001
182,896.2701416015625,0.001
183,871.943603515625,0.001
184,926.4228515625,0.001
185,923.347412109375,0.001
186,952.1322021484375,0.001
187,894.1021728515625,0.001
188,925.96435546875,0.001
189,869.4619140625,0.001
190,912.3455200195312,0.001
191,934.5120849609375,0.001
192,907.9473876953125,0.001
193,952.8834228515625,0.001
194,855.4779052734375,0.001
195,933.1754150390625,0.001
196,928.8101196289062,0.001
197,865.559326171875,0.001
198,919.6270751953125,0.001
199,953.5137939453125,0.001
200,892.146240234375,0.001
201,992.5436401367188,0.001
202,891.6104125976562,0.001
203,940.3552856445312,0.001
204,932.5875244140625,0.001
205,860.0579833984375,0.001
206,903.375,0.001
207,869.9481201171875,0.001
208,892.5481567382812,0.001
209,848.1129150390625,0.001
210,858.409423828125,0.001
211,794.7220458984375,0.001
212,872.747802734375,0.001
213,845.2720336914062,0.001
214,810.6728515625,0.001
215,830.8441772460938,0.001
216,827.4176025390625,0.001
217,799.6988525390625,0.001
218,855.7007446289062,0.001
219,800.4951171875,0.001
220,809.183349609375,0.001
221,804.2215576171875,0.001
222,793.8099365234375,0.001
223,781.0794677734375,0.001
224,796.113525390625,0.001
225,799.4014892578125,0.001
226,806.5487060546875,0.001
227,848.8643798828125,0.001
228,792.919921875,0.001
229,789.6856689453125,0.001
230,818.3223266601562,0.001
231,772.2567749023438,0.001
232,819.9012451171875,0.001
233,761.7830200195312,0.001
234,789.3308715820312,0.001
235,728.9895629882812,0.001
236,787.9330444335938,0.001
237,754.837646484375,0.001
238,751.97509765625,0.001
239,756.635009765625,0.001
240,746.5651245117188,0.001
241,737.6754150390625,0.001
242,726.708740234375,0.001
243,744.3629150390625,0.001
244,742.1672973632812,0.001
245,768.8106689453125,0.001
246,760.281005859375,0.001
247,753.5455322265625,0.001
248,741.1151123046875,0.001
249,742.225341796875,0.001
250,767.333740234375,0.001
251,733.151123046875,0.001
252,784.4646606445312,0.001
253,741.5789794921875,0.001
254,792.9986572265625,0.001
255,750.3380126953125,0.001
256,774.1063232421875,0.001
257,764.881103515625,0.001
258,792.5569458007812,0.001
259,733.436279296875,0.001
260,749.8228149414062,0.001
261,774.66845703125,0.001
262,745.7985229492188,0.001
263,738.6029052734375,0.001
264,777.6244506835938,0.001
265,731.255859375,0.001
266,764.1192016601562,0.001
267,726.7877197265625,0.001
268,714.99072265625,0.001
269,696.8097534179688,0.001
270,699.174560546875,0.001
271,680.6549072265625,0.001
272,697.3863525390625,0.001
273,668.5360717773438,0.001
274,725.9904174804688,0.001
275,700.1376342773438,0.001
276,682.0354614257812,0.001
277,681.7056884765625,0.001
278,701.234130859375,0.001
279,742.3917236328125,0.001
280,683.20849609375,0.001
281,749.8755493164062,0.001
282,691.4515380859375,0.001
283,704.5244140625,0.001
284,732.0390014648438,0.001
285,729.9326171875,0.001
286,752.208251953125,0.001
287,696.3004150390625,0.001
288,700.0843505859375,0.001
289,742.0523071289062,0.001
290,724.1304931640625,0.001
291,704.91015625,0.001
292,722.2857666015625,0.001
