iteration,loss,lr
0,1573.4022216796875,0.001
1,1590.59326171875,0.001
2,1605.8143310546875,0.001
3,1405.3199462890625,0.001
4,1137.8184814453125,0.001
5,982.3143920898438,0.001
6,865.9931640625,0.001
7,808.9266357421875,0.001
8,772.1094970703125,0.001
9,807.3528442382812,0.001
10,692.8778076171875,0.001
11,789.0635986328125,0.001
12,670.1915283203125,0.001
13,650.959716796875,0.001
14,632.7620849609375,0.001
15,596.389404296875,0.001
16,570.4479370117188,0.001
17,601.9960327148438,0.001
18,541.3507080078125,0.001
19,525.0060424804688,0.001
20,525.1817016601562,0.001
21,499.5005187988281,0.001
22,521.548828125,0.001
23,512.843994140625,0.001
24,486.1123046875,0.001
25,501.99078369140625,0.001
26,454.762939453125,0.001
27,460.3521728515625,0.001
28,510.24334716796875,0.001
29,457.07989501953125,0.001
30,442.945556640625,0.001
31,456.0604248046875,0.001
32,504.5446472167969,0.001
33,428.78460693359375,0.001
34,398.53729248046875,0.001
35,410.2684326171875,0.001
36,405.4289245605469,0.001
37,391.012451171875,0.001
38,380.0871887207031,0.001
39,372.05389404296875,0.001
40,374.567138671875,0.001
41,382.1011962890625,0.001
42,351.27490234375,0.001
43,365.1294860839844,0.001
44,336.46929931640625,0.001
45,349.8646545410156,0.001
46,345.94769287109375,0.001
47,327.6449279785156,0.001
48,331.47723388671875,0.001
49,322.8975830078125,0.001
50,325.4971923828125,0.001
51,329.1983337402344,0.001
52,327.4510498046875,0.001
53,313.5772399902344,0.001
54,318.3278503417969,0.001
55,299.5801696777344,0.001
56,326.7938232421875,0.001
57,308.29852294921875,0.001
58,312.70068359375,0.001
59,301.77081298828125,0.001
60,305.036865234375,0.001
61,295.4280090332031,0.001
62,282.86114501953125,0.001
63,287.20648193359375,0.001
64,285.9326171875,0.001
65,274.97210693359375,0.001
66,276.6461181640625,0.001
67,286.48406982421875,0.001
68,282.15447998046875,0.001
69,281.81402587890625,0.001
70,290.68414306640625,0.001
71,268.0971984863281,0.001
72,303.9609069824219,0.001
73,272.5155029296875,0.001
74,309.770263671875,0.001
75,290.1630554199219,0.001
76,289.5914001464844,0.001
77,283.3877868652344,0.001
78,299.93426513671875,0.001
79,267.6541748046875,0.001
80,257.8981628417969,0.001
81,286.0491943359375,0.001
82,259.7962951660156,0.001
83,268.56121826171875,0.001
84,272.6405944824219,0.001
85,259.52447509765625,0.001
86,260.9027099609375,0.001
87,248.1153564453125,0.001
88,265.40032958984375,0.001
89,250.82183837890625,0.001
90,246.2635498046875,0.001
91,249.82815551757812,0.001
92,255.2374267578125,0.001
93,254.143798828125,0.001
94,241.3558349609375,0.001
95,268.13018798828125,0.001
96,239.98513793945312,0.001
97,265.63677978515625,0.001
98,250.00057983398438,0.001
99,240.2689208984375,0.001
100,251.52842712402344,0.001
101,231.40029907226562,0.001
102,250.7774658203125,0.001
103,245.45108032226562,0.001
104,264.0111083984375,0.001
105,276.2599792480469,0.001
106,255.66940307617188,0.001
107,239.32888793945312,0.001
108,240.74827575683594,0.001
109,227.385009765625,0.001
110,242.91192626953125,0.001
111,229.95538330078125,0.001
112,222.73965454101562,0.001
113,233.49612426757812,0.001
114,222.55374145507812,0.001
115,256.754638671875,0.001
116,214.9669952392578,0.001
117,224.6699676513672,0.001
118,228.5989990234375,0.001
119,217.52090454101562,0.001
120,222.3963623046875,0.001
121,244.97547912597656,0.001
122,211.38095092773438,0.001
123,217.31947326660156,0.001
124,216.92405700683594,0.001
125,238.8094482421875,0.001
126,216.29489135742188,0.001
127,209.791748046875,0.001
128,258.56500244140625,0.001
129,201.50987243652344,0.001
130,203.5882110595703,0.001
131,199.8583984375,0.001
132,193.0417938232422,0.001
133,197.8828125,0.001
134,201.999755859375,0.001
135,193.89996337890625,0.001
136,203.17752075195312,0.001
137,191.7349395751953,0.001
138,204.44577026367188,0.001
139,190.788818359375,0.001
140,188.67250061035156,0.001
141,190.59359741210938,0.001
142,194.4590301513672,0.001
143,191.29441833496094,0.001
144,202.96795654296875,0.001
145,185.88462829589844,0.001
146,188.9346160888672,0.001
147,184.8996124267578,0.001
148,182.4744873046875,0.001
149,178.35791015625,0.001
150,192.28280639648438,0.001
151,171.92428588867188,0.001
152,182.0902099609375,0.001
153,193.93914794921875,0.001
154,173.85293579101562,0.001
155,181.90548706054688,0.001
156,187.66049194335938,0.001
157,171.4812774658203,0.001
158,184.0364990234375,0.001
159,183.140869140625,0.001
160,177.45590209960938,0.001
161,192.00369262695312,0.001
162,178.46502685546875,0.001
163,188.00515747070312,0.001
164,183.57733154296875,0.001
165,189.3598175048828,0.001
166,202.39523315429688,0.001
167,195.633056640625,0.001
168,183.20098876953125,0.001
169,174.9062957763672,0.001
170,180.4500732421875,0.001
171,179.58181762695312,0.001
172,168.72262573242188,0.001
173,175.58572387695312,0.001
174,185.38394165039062,0.001
175,183.94216918945312,0.001
176,172.40260314941406,0.001
177,184.5804901123047,0.001
178,179.672607421875,0.001
179,178.2672119140625,0.001
180,185.95913696289062,0.001
181,182.98426818847656,0.001
182,191.67849731445312,0.001
183,174.690185546875,0.001
184,178.168701171875,0.001
185,173.92025756835938,0.001
186,169.16018676757812,0.001
187,173.9825439453125,0.001
188,173.9041748046875,0.001
189,168.6690216064453,0.001
190,176.81983947753906,0.001
191,169.06161499023438,0.001
192,162.37631225585938,0.001
193,165.2933807373047,0.001
194,164.9361572265625,0.001
195,157.2376708984375,0.001
196,162.6514892578125,0.001
197,162.67599487304688,0.001
198,162.7793731689453,0.001
199,166.43112182617188,0.001
200,160.877197265625,0.001
201,163.718505859375,0.001
202,173.3679962158203,0.001
203,174.6199188232422,0.001
204,168.8223419189453,0.001
205,168.32150268554688,0.001
206,157.6851348876953,0.001
207,170.56568908691406,0.001
208,154.73416137695312,0.001
209,170.31002807617188,0.001
210,157.19796752929688,0.001
211,163.37063598632812,0.001
212,179.60931396484375,0.001
213,153.11526489257812,0.001
214,166.52914428710938,0.001
215,163.8703155517578,0.001
216,161.87188720703125,0.001
217,158.6286163330078,0.001
218,150.99192810058594,0.001
219,154.84463500976562,0.001
220,147.37843322753906,0.001
221,159.86953735351562,0.001
222,160.54244995117188,0.001
223,162.78656005859375,0.001
224,154.1886749267578,0.001
225,158.2198486328125,0.001
226,176.31802368164062,0.001
227,159.17257690429688,0.001
228,162.4143829345703,0.001
229,170.559326171875,0.001
230,156.0765380859375,0.001
231,183.5507049560547,0.001
232,159.33450317382812,0.001
233,161.6128692626953,0.001
234,157.32070922851562,0.001
235,156.81802368164062,0.001
236,144.828369140625,0.001
237,157.33551025390625,0.001
238,144.74285888671875,0.001
239,138.49362182617188,0.001
240,154.79359436035156,0.001
241,151.994873046875,0.001
242,158.57757568359375,0.001
243,150.4192657470703,0.001
244,154.26513671875,0.001
245,147.21603393554688,0.001
246,151.00718688964844,0.001
247,148.2643280029297,0.001
248,146.55223083496094,0.001
249,147.4589080810547,0.001
250,147.53433227539062,0.001
251,141.75457763671875,0.001
252,157.11624145507812,0.001
253,146.66578674316406,0.001
254,147.83758544921875,0.001
255,142.12088012695312,0.001
256,144.80807495117188,0.001
257,138.52813720703125,0.001
258,149.84117126464844,0.001
259,132.5024871826172,0.001
260,153.45004272460938,0.001
261,134.30361938476562,0.001
262,144.1241912841797,0.001
263,141.7943572998047,0.001
264,139.15570068359375,0.001
265,141.17922973632812,0.001
266,138.39031982421875,0.001
267,144.20932006835938,0.001
268,137.22463989257812,0.001
269,130.32864379882812,0.001
270,136.73626708984375,0.001
271,132.35707092285156,0.001
272,130.03741455078125,0.001
273,146.1336669921875,0.001
274,127.18197631835938,0.001
275,141.98101806640625,0.001
276,132.78079223632812,0.001
277,152.664306640625,0.001
278,127.9073486328125,0.001
279,146.39306640625,0.001
280,130.80609130859375,0.001
281,135.39889526367188,0.001
282,136.77505493164062,0.001
283,141.20457458496094,0.001
284,138.132080078125,0.001
285,146.38858032226562,0.001
286,140.72894287109375,0.001
287,146.50167846679688,0.001
288,142.09776306152344,0.001
289,147.04986572265625,0.001
290,138.64291381835938,0.001
291,140.5162353515625,0.001
292,140.56719970703125,0.001
293,142.765380859375,0.001
294,143.819091796875,0.001
295,135.6853790283203,0.001
296,129.97279357910156,0.001
297,148.6849365234375,0.001
298,121.32921600341797,0.001
299,145.41281127929688,0.001
300,129.00082397460938,0.001
301,129.64959716796875,0.001
302,134.18276977539062,0.001
303,143.98435974121094,0.001
304,143.22064208984375,0.001
305,129.82510375976562,0.001
306,131.1068115234375,0.001
307,130.1615447998047,0.001
308,129.54641723632812,0.001
309,127.02648162841797,0.001
310,122.79625701904297,0.001
311,138.7009735107422,0.001
312,125.44972229003906,0.001
313,130.9598388671875,0.001
314,131.13449096679688,0.001
315,127.61555480957031,0.001
316,131.3539581298828,0.001
317,129.97091674804688,0.001
318,137.3660125732422,0.001
319,125.17456817626953,0.001
320,153.30296325683594,0.001
321,126.33899688720703,0.001
322,138.19680786132812,0.001
323,133.048583984375,0.001
324,132.549072265625,0.001
325,142.9961700439453,0.001
326,130.95909118652344,0.001
327,127.12049865722656,0.001
328,128.22549438476562,0.001
329,119.20235443115234,0.001
330,130.01263427734375,0.001
331,119.07589721679688,0.001
332,122.52740478515625,0.001
333,122.25236511230469,0.001
334,117.84831237792969,0.001
335,122.26979064941406,0.001
336,117.49601745605469,0.001
337,114.69194030761719,0.001
338,120.77374267578125,0.001
339,114.3621826171875,0.001
340,119.00209045410156,0.001
